theta,phi,time,Sg (MW/m^2),PAR (mol PAR/m^2/s),PARdf (mol PAR/m^2/s),PARdr (mol PAR/m^2/s)
1.7932316766303016,298.6998367434374,2024-06-18 19:10:00+00:00,2.45346390211498e-05,5.653142631601337e-05,1.8203119273756306e-05,3.832830704225706e-05
0.07828903123927214,300.22311834265713,2024-06-18 19:20:00+00:00,1.0586439178153125e-06,2.4392717000352827e-06,7.85445487411361e-07,1.6538262126239215e-06
-1.6100348865524126,301.7757836330775,2024-06-18 19:30:00+00:00,0.0,0.0,0.0,0.0
-3.2699596581611035,303.36006790253776,2024-06-18 19:40:00+00:00,0.0,0.0,0.0,0.0
-4.899610149634353,304.97817311581923,2024-06-18 19:50:00+00:00,0.0,0.0,0.0,0.0
-6.497012282826065,306.6322597843921,2024-06-18 20:00:00+00:00,0.0,0.0,0.0,0.0
-8.060089465177596,308.324435592672,2024-06-18 20:10:00+00:00,0.0,0.0,0.0,0.0
-9.586659764368257,310.05674042887824,2024-06-18 20:20:00+00:00,0.0,0.0,0.0,0.0
-11.07443465585907,311.8311282922007,2024-06-18 20:30:00+00:00,0.0,0.0,0.0,0.0
-12.521018071824923,313.64944413093673,2024-06-18 20:40:00+00:00,0.0,0.0,0.0,0.0
-13.923908080952113,315.5133977830969,2024-06-18 20:50:00+00:00,0.0,0.0,0.0,0.0
-15.280499975510518,317.424533231061,2024-06-18 21:00:00+00:00,0.0,0.0,0.0,0.0
-16.58809172625405,319.3841939383601,2024-06-18 21:10:00+00:00,0.0,0.0,0.0,0.0
-17.84389204825842,321.3934843939855,2024-06-18 21:20:00+00:00,0.0,0.0,0.0,0.0
-19.045031432037792,323.4532283384101,2024-06-18 21:30:00+00:00,0.0,0.0,0.0,0.0
-20.188576467351375,325.5639244074365,2024-06-18 21:40:00+00:00,0.0,0.0,0.0,0.0
-21.27154767271718,327.7257000984286,2024-06-18 21:50:00+00:00,0.0,0.0,0.0,0.0
-22.29094146562228,329.938266330199,2024-06-18 22:00:00+00:00,0.0,0.0,0.0,0.0
-23.243755291796177,332.2008721636678,2024-06-18 22:10:00+00:00,0.0,0.0,0.0,0.0
-24.127017319110166,334.51226467212933,2024-06-18 22:20:00+00:00,0.0,0.0,0.0,0.0
-24.93781936671437,336.87065416927123,2024-06-18 22:30:00+00:00,0.0,0.0,0.0,0.0
-25.673353072827638,339.27368821953417,2024-06-18 22:40:00+00:00,0.0,0.0,0.0,0.0
-26.330948552161626,341.7184368898871,2024-06-18 22:50:00+00:00,0.0,0.0,0.0,0.0
-26.908114629135056,344.2013916985575,2024-06-18 23:00:00+00:00,0.0,0.0,0.0,0.0
-27.402579504709145,346.71848034023515,2024-06-18 23:10:00+00:00,0.0,0.0,0.0,0.0
-27.812330501111877,349.26509849689796,2024-06-18 23:20:00+00:00,0.0,0.0,0.0,0.0
-28.13565157152465,351.8361603925115,2024-06-18 23:30:00+00:00,0.0,0.0,0.0,0.0
-28.37115666556046,354.4261651571479,2024-06-18 23:40:00+00:00,0.0,0.0,0.0,0.0
-28.517818038233656,357.0292809248308,2024-06-18 23:50:00+00:00,0.0,0.0,0.0,0.0
